NUMERO_CLIENT;DATE_CONTRAT;DEPARTEMENT;CIVILITE;NOM;PRENOM;DATE_NAISSANCE;TELEPHONE_FIXE;TELEPHONE_MOBILE;EMAIL;NUMERO_VOIE;NOM_VOIE;CODE_POSTAL;COMMUNE
FR-09022018-15891183;02/09/2018;29;Mme;VILELA;FABIA;07/12/1975;02.90.86.30.30;06.03.81.87.33;vilela.fabia2120@free.fr;56;AVENUE DU FRENE;29400;LANNEUFFRET
FR-14122014-15989487;14/12/2014;77;Mme;SEMEDO;ROSE;02/06/1961;null;06.26.07.62.41;rose.semedo@free.fr;44;RUE DE PREDEFIN;77560;AUGERS-EN-BRIE
FR-19072010-15241720;19/07/2010;62;Mme;PRAUD;EMMA;19/04/1999;null;07.30.81.26.34;praud.emma7961@laposte.net;62;RUE DE LA COULEE VERTE;62450;MARTINPUICH
FR-07032019-18460852;03/07/2019;55;M.;MATHURIN;LAURENT;28/11/1942;03.57.22.73.06;null;laurent.mathurin@live.fr;49;RUE DES COUTEAUX;55270;CUISY
FR-26092023-17922800;26/09/2023;57;Mme;ROCHEFORT;ANNE;05/03/1970;03.82.83.16.62;07.59.94.89.84;anne.rochefort@sfr.fr;59;PLACE SAINT PIERRE;57070;SAINT-JULIEN-LÈS-METZ
FR-22082016-15797466;22/08/2016;37;Mme;GARBAY;ROSA;24/11/1947;null;06.77.23.36.71;garbay.rosa@orange.fr;98;IMPASSE DES GROUILLERES;37190;CHEILLÉ
FR-28082021-17569562;28/08/2021;65;M.;BARRAUD;CONSTANT;02/12/1998;null;null;constant.barraud4153@free.fr;108;IMPASSE COULOMB;65370;SIRADAN
FR-30052020-14904865;30/05/2020;52;M.;BALAY;BRAS;11/05/1952;null;07.55.82.79.62;bras.balay9260@live.fr;43;ROUTE DE MOINGT;52300;THONNANCE-LÈS-JOINVILLE
FR-07052018-17913625;05/07/2018;15;Mme;GATIGNOL;LOUISE;01/11/1992;null;07.16.19.25.05;louise.gatignol6185@gmail.com;47;IMPASSE DE LA MADELEINE;15600;BOISSET
FR-14062011-18095161;14/06/2011;80;Mme;MELCHIOR;AUGUSTA;10/02/1983;03.65.29.56.16;06.84.82.25.55;melchior.augusta@free.fr;129;RUE BELLE VUE;80430;LAFRESGUIMONT-SAINT-MARTIN
FR-10112017-17023646;11/10/2017;52;M.;ANTONY;MARKUS;20/08/1999;null;06.87.24.62.86;antony.markus2749@free.fr;100;CHEMIN BERTHE;52330;GILLANCOURT
FR-11042012-20247364;04/11/2012;31;M.;LETOURNEUX;ARISTIDE;23/07/1981;null;07.17.59.91.08;letourneux.aristide1281@orange.fr;29;IMPASSE CAPUCINES;31230;LABASTIDE-PAUMÈS
FR-23022011-16696620;23/02/2011;24;Mme;PIVETEAU;AN;15/07/1980;05.64.39.16.97;06.90.74.62.18;an.piveteau@laposte.net;12;RUE DE LA PORTE AUX JUGES;24200;SAINT-VINCENT-LE-PALUEL
FR-22082018-18714476;22/08/2018;55;Mme;MASSERON;VICTOIRE;01/11/1986;03.29.44.53.16;07.85.78.92.00;masseron.victoire6044@orange.fr;15;RUE DU ROCHER;55600;QUINCY-LANDZÉCOURT
FR-26122020-16182163;26/12/2020;49;M.;MAZAUD;CARLO;10/12/1963;null;06.96.34.05.43;mazaud.carlo@orange.fr;135;CHEMIN DU PRAT NORD;49150;LA LANDE-CHASLES
FR-21042020-18960237;21/04/2020;72;Mme;BENGUIGUI;JULIETTE;20/09/1993;null;06.27.91.18.88;juliette.benguigui@gmail.com;43;SQUARE ERIK SATIE;72240;SAINT-SYMPHORIEN
FR-23032016-17133746;23/03/2016;17;Mme;BULTEAU;CLAIRE;16/09/2003;null;07.29.76.55.97;claire.bulteau4975@gmail.com;111;RUE LAMARTINE;17700;SAINT-MARD
FR-11092021-17865129;09/11/2021;12;Mme;RIGOLLET;CLAUDE;04/12/1974;null;07.83.93.08.86;claude.rigollet@gmail.com;82;RUE DE LA FONTAINE;12800;QUINS
FR-08072022-17964744;07/08/2022;38;Mme;SULPICE;VIRGINIE;21/08/1999;null;06.11.28.63.46;virginie.sulpice@gmail.com;87;RUE DE VERQUIGNEUL;38320;BRESSON
FR-07012020-16041915;01/07/2020;10;Mme;GASQUET;AN;22/10/1972;null;07.69.80.86.24;gasquet.an@free.fr;104;RUE DES HETRES;10160;NOGENT-EN-OTHE
FR-10082013-14986130;08/10/2013;54;M.;DALLE;ALAIN;18/01/1964;null;07.73.75.49.17;alain.dalle@gmail.com;5;RUE DU HAUT BOURG;54390;FROUARD
FR-03012021-16482317;01/03/2021;70;M.;MARCILLY;AH;28/04/1967;null;06.44.51.13.79;ah.marcilly@gmail.com;8;RUE DE LA LIBERATION;70300;ESBOZ-BREST
FR-28012021-15531391;28/01/2021;16;M.;KROL;HERMANN;06/10/2001;null;07.80.96.58.87;hermann.krol2273@live.fr;59;RUE QUATRE FOURCHETTES;16100;BOUTIERS-SAINT-TROJAN
FR-24052019-17939841;24/05/2019;02;Mme;GINESTE;CHRISTINE;11/10/1965;null;07.88.65.13.35;christine.gineste5213@orange.fr;110;RUE ROMAIN ROLAND;02540;DHUYS ET MORIN-EN-BRIE
FR-22122023-16439719;22/12/2023;21;Mme;JEULAND;LILI;01/09/1958;03.79.93.19.65;06.22.21.06.11;jeuland.lili4461@free.fr;121;IMPASSE GENERAL SORBIER;21310;BLAGNY-SUR-VINGEANNE
FR-13032012-17178311;13/03/2012;11;M.;CHANSON;CAMILLE;16/04/1987;null;06.61.04.73.87;chanson.camille390@gmail.com;96;IMPASSE DE L'ETOILE;11140;ARTIGUES
FR-05072012-16273914;07/05/2012;03;M.;LECERF;ROMAIN;09/10/1980;null;07.74.24.57.60;lecerf.romain@orange.fr;77;ROUTE DE MONTMAIN;03300;CUSSET
FR-17042010-16007837;17/04/2010;03;M.;GOMEZ;LUCIEN;26/10/2000;04.70.17.77.97;07.96.76.44.46;lucien.gomez4888@sfr.fr;66;RUE DES PLATANES;03150;SANSSAT
FR-04082019-16523607;08/04/2019;62;Mme;BULIN;CHARLOTTE;27/02/1972;null;07.35.84.70.88;charlotte.bulin6564@gmail.com;2;RUE PASTEUR;62223;ATHIES
FR-31052010-15570713;31/05/2010;09;M.;RIFF;ALEXANDRE;09/02/1997;null;06.01.90.65.78;alexandre.riff6159@gmail.com;62;RUE DE LA RUINE;09500;CAZALS-DES-BAYLÈS
FR-17122023-15859070;17/12/2023;25;M.;GIROT;ROGER;16/08/1942;03.81.52.82.06;07.07.73.33.80;roger.girot@sfr.fr;83;RUE ST MEDARD;25190;FLEUREY
FR-29012014-15397041;29/01/2014;33;Mme;GREAU;ANITA;22/03/1989;05.54.31.69.76;07.41.08.90.25;greau.anita1805@gmail.com;71;CHEMIN DE CONGRUE;33840;LERM-ET-MUSSET
FR-27062018-16010458;27/06/2018;56;M.;FILLON;PAUL;12/07/1982;null;null;paul.fillon468@wanadoo.fr;133;CHEMIN DE LA VIONNE;56700;MERLEVENEZ
FR-05092023-16159880;09/05/2023;53;Mme;GUICHARD;AH;11/02/1985;null;07.05.90.99.91;ah.guichard9202@orange.fr;125;RUE DES PAQUIERS;53110;LASSAY-LES-CHÂTEAUX
FR-02082011-17835637;08/02/2011;57;M.;JANSSENS;ROMAN;06/01/2000;null;06.55.56.73.08;janssens.roman8625@orange.fr;118;RUE DU COL NOIR;57200;SARREGUEMINES
FR-27092012-17124571;27/09/2012;10;M.;LAVILLE;CARLOS;22/12/1960;null;07.10.64.98.95;laville.carlos9783@orange.fr;82;RUE CHAMPIONNET;10700;NOZAY
FR-09082012-14583085;08/09/2012;11;M.;XU;CONSTANT;17/07/1975;04.68.48.09.52;07.93.55.74.17;xu.constant@free.fr;73;AVENUE JOSEPH VIDAL;11700;ROQUECOURBE-MINERVOIS
FR-03042021-15743727;04/03/2021;17;M.;GRADEL;HAMID;01/05/2002;null;07.87.34.75.05;gradel.hamid3108@free.fr;91;ROUTE DU CRANOU;17100;SAINTES
FR-10062011-17878237;06/10/2011;52;M.;DELVAUX;PHILIPPE;23/09/1986;03.10.36.07.65;06.55.58.48.38;philippe.delvaux8058@laposte.net;132;ROUTE DE COAT ARZUR;52120;LAFERTÉ-SUR-AUBE
FR-29042013-14583083;29/04/2013;10;Mme;ELOI;CLARA;29/04/1987;03.51.18.94.62;06.72.05.07.44;eloi.clara@orange.fr;13;RUE CLAUDE MONET;10310;LONGCHAMP-SUR-AUJON
FR-24012018-16095655;24/01/2018;77;Mme;BARRES;MARIE;07/06/1960;01.60.56.78.80;07.42.94.20.89;marie.barres973@free.fr;54;RUE DU PORT DE LA CAPTE;77100;NANTEUIL-LÈS-MEAUX
FR-03102019-15380002;10/03/2019;71;Mme;BENECH;LENI;08/12/1969;03.71.47.51.34;07.60.04.63.80;leni.benech1988@wanadoo.fr;58;CHEMIN DE LA POTERIE;71500;VINCELLES
FR-20012014-15992108;20/01/2014;89;Mme;KESSLER;AH;09/10/1941;null;07.78.16.20.62;ah.kessler@wanadoo.fr;106;ROUTE DES COURTILS;89190;FLACY
FR-23042020-15148660;23/04/2020;80;M.;AYALA;DAVID;25/03/1960;null;07.79.55.78.06;david.ayala9384@free.fr;26;RUE VINCENT SCOTTO;80470;ARGŒUVES
FR-05092019-17099668;09/05/2019;95;M.;LANCRY;ALPHONSE;12/02/1995;null;06.63.20.07.33;alphonse@lancry.net;1;RUE DES VIOLETTES;95480;PIERRELAYE
FR-28112019-14948775;28/11/2019;80;Mme;REAU;CLAUDE;20/03/1946;null;06.38.42.13.39;claude.reau20@sfr.fr;49;RUE JULES FERRY;80500;FESCAMPS
FR-14112014-16986946;14/11/2014;01;M.;AILLAUD;ROBERT;21/04/1944;null;06.74.59.87.65;robert.aillaud@free.fr;138;RUE DU PATURAL;01310;POLLIAT
FR-03032021-17099669;03/03/2021;54;Mme;DANTAS;ALEXANDRIE;13/11/1951;null;06.63.65.11.97;alexandrie.dantas700@wanadoo.fr;83;IMPASSE IMPASSE DU BESSIN;54800;PUXE
FR-15092021-13738979;15/09/2021;17;M.;BEN;OTTO;10/04/1953;null;07.60.05.12.01;ben.otto105@live.fr;18;CLOS ST ANDRE;17800;MONTILS
FR-04112010-17718328;11/04/2010;03;M.;KAMINSKI;JUSTE;20/03/1956;null;07.87.99.83.41;juste.kaminski@free.fr;52;PLACE GABRIEL TRAVERSIER;03460;VILLENEUVE-SUR-ALLIER
FR-09122011-16638294;12/09/2011;51;Mme;RIPOLL;NINON;30/06/1964;null;07.66.20.86.96;ripoll.ninon@gmail.com;96;RUE DU DOC ALBERT SCHWEITZER;51310;SAINT-BON
FR-08062017-15123100;06/08/2017;61;Mme;HUTIN;MAI;26/12/1951;null;06.65.31.43.23;mai.hutin9570@free.fr;2;RUE BONTEMPS;61330;TORCHAMP
FR-09062018-17144888;06/09/2018;02;Mme;LANDRIN;DJAMILA;22/08/1950;null;07.29.27.25.26;landrin.djamila7469@gmail.com;122;RUE CHARLES HERMITE;02800;DANIZY
FR-24042010-18141035;24/04/2010;34;Mme;BERTHELON;FLORA;16/03/1995;null;07.31.72.38.14;flora.berthelon@free.fr;3;RUE DU GUE HUBERT;34610;ROSIS
FR-01042016-17526962;04/01/2016;21;Mme;QUINTON;PAULE;05/02/1979;03.71.95.71.39;07.16.41.51.11;quinton.paule5568@free.fr;104;RUE DES PAVILLONS;21460;FORLÉANS
FR-08092019-16498047;09/08/2019;80;M.;COLLAS;HUBERT;30/03/1950;03.75.20.47.73;06.72.05.04.51;hubert.collas3212@gmail.com;64;RUE DE LALANDE;80240;TINCOURT-BOUCLY
FR-07092020-15450782;09/07/2020;55;Mme;HEIM;CRISTINA;20/06/1985;null;06.52.19.19.40;cristina.heim1524@gmail.com;89;PLACE DE LA MAIRIE;55000;BAR-LE-DUC
FR-09102018-16981703;10/09/2018;15;M.;LELARGE;JOSEPH;01/09/1946;null;07.71.97.29.41;joseph@lelarge.net;32;IMPASSE DUKE ELLINGTON;15310;SAINT-ILLIDE
FR-19112018-16789026;19/11/2018;31;M.;AGUILERA;ADAM;09/06/1996;null;07.54.48.68.98;adam.aguilera5671@laposte.net;121;CHEMIN DE CHATELLERAULT;31470;SAINT-THOMAS
FR-28042015-18866520;28/04/2015;21;M.;MARTINACHE;GIULIO;03/01/1952;03.79.75.26.27;06.72.67.86.08;giulio@martinache.fr;78;RUE D'AUTEUIL;21430;BLANOT
FR-28032013-13834662;28/03/2013;88;Mme;CAO;AVRIL;14/06/1963;null;06.95.00.77.16;avril@cao.live;62;RUE DU ROI ALBERT PREMIER;88390;SANCHEY
FR-06052010-16983670;05/06/2010;76;Mme;GIRAUD;GERTRUDE;19/02/1990;null;07.87.77.58.22;giraud.gertrude4814@free.fr;150;RUE EUGENE LAI;76440;HAUSSEZ
FR-28122013-19304300;28/12/2013;61;M.;PROCUREUR;MAURICE;20/06/2001;null;null;procureur.maurice1163@wanadoo.fr;107;RUE ROBERVAL;61390;FERRIÈRES-LA-VERRERIE
FR-01102019-16094345;10/01/2019;27;M.;CLAIRE;JUSTE;18/10/1951;null;06.57.00.10.47;juste.claire@live.fr;10;RUE DE RONDEVAL;27180;PARVILLE
FR-09082016-16398433;08/09/2016;88;M.;CABON;CONSTANTIN;29/09/1942;03.72.41.50.77;07.72.69.29.90;constantin.cabon@live.fr;125;RUE DE LA GONSE;88700;HOUSSERAS
FR-20122017-14469050;20/12/2017;51;M.;AZAIS;AN;27/03/2000;03.51.78.53.78;07.63.84.28.45;azais.an6782@wanadoo.fr;95;CHEMIN DES ROUYERES;51130;VAL-DES-MARAIS
FR-28022010-19425542;28/02/2010;14;Mme;LEPELLETIER;NADINE;27/08/1977;null;07.07.91.49.05;nadine@lepelletier.live;96;RUE DE POTENCUL;14290;VALORBIQUET
FR-03072011-12881768;07/03/2011;41;M.;LE;JUAN;09/03/1958;02.45.39.28.21;06.93.91.01.16;le.juan6198@free.fr;101;RUE DE LA HALLE;41110;CHÂTEAUVIEUX
FR-15042018-16362388;15/04/2018;65;M.;BUENO;PHILIPPE;13/12/1990;05.81.03.62.26;07.56.20.43.38;bueno.philippe@sfr.fr;139;PLACE DU TENNIS;65310;HORGUES
FR-24022018-17051827;24/02/2018;65;M.;LUCZAK;OLIVIER;24/11/1943;05.62.50.07.79;06.67.66.28.31;olivier.luczak8547@gmail.com;15;CHEMIN DU RICHARDIN;65230;CASTERETS
FR-18052020-15778461;18/05/2020;40;Mme;JOUAN;CLAUDE;12/10/1985;null;07.57.35.75.63;claude.jouan@gmail.com;122;RUE EMILE ZOLA;40400;CARCARÈS-SAINTE-CROIX
FR-18052020-16624531;18/05/2020;72;Mme;DELORY;NATALE;17/06/1959;null;07.44.76.49.23;natale.delory12@orange.fr;133;IMPASSE DE LA VALLEE;72150;MONTREUIL-LE-HENRI
FR-26102011-16598317;26/10/2011;04;M.;NDIAYE;JACQUES;11/01/1977;04.88.80.87.20;06.79.71.50.98;jacques.ndiaye3978@laposte.net;16;RUE VILLENEUVE;04000;LA ROBINE-SUR-GALABRE
FR-31052017-17757650;31/05/2017;11;M.;GATINEAU;ROBERT;24/10/2002;04.11.72.65.01;06.21.93.17.06;robert.gatineau4345@orange.fr;111;BOULEVARD DES EUCALYPTUS;11350;ROUFFIAC-DES-CORBIÈRES
FR-29112011-15144727;29/11/2011;58;Mme;BAHRI;MARIE;06/04/1956;null;06.66.10.25.20;bahri.marie6850@orange.fr;32;RUE JEAN JAURES;58300;SAINT-PARIZE-EN-VIRY
FR-31082015-16408917;31/08/2015;43;Mme;MASCLEF;ROSA;15/01/1959;null;06.10.47.35.43;rosa.masclef@sfr.fr;7;RUE DES BOCQUEREAUX;43390;AZÉRAT
FR-08112011-17695390;11/08/2011;65;M.;AMBROISE;RENARD;08/08/1988;null;null;ambroise.renard380@free.fr;115;RUE DES SARMENTS;65400;BUN
FR-26072019-16356489;26/07/2019;46;M.;JAAFAR;OLIVIER;31/05/1991;null;06.10.15.12.13;jaafar.olivier3271@gmail.com;123;RUE DU DOCTEUR CHARCOT;46250;MARMINIAC
FR-07082016-15273178;08/07/2016;81;M.;FILY;PIERRE;10/05/1992;null;null;fily.pierre2306@gmail.com;140;AVENUE DU DOYEN JUSSIAUME;81220;MAGRIN
FR-29112018-15895115;29/11/2018;91;Mme;JAOUEN;LENI;26/10/1951;01.69.27.71.64;07.92.22.09.53;leni.jaouen5844@laposte.net;30;RUE CAMILLE CLAUDEL;91700;VILLIERS-SUR-ORGE
FR-23092012-16250321;23/09/2012;52;M.;BACQUE;JULIEN;08/01/1958;null;07.99.70.53.40;julien@bacque.fr;144;RUE DU SENECHAL;52700;BUSSON
FR-22032013-17116052;22/03/2013;17;M.;DEYDIER;PIERRE;05/03/1944;null;07.54.90.09.03;deydier.pierre5576@gmail.com;19;AVENUE PATHE MARCONI;17330;COURANT
FR-16072011-15473718;16/07/2011;45;Mme;FOURRE;AN;09/01/1970;02.34.32.31.01;07.54.92.28.55;fourre.an9045@free.fr;138;PLACE RENE MASSON;45270;BEAUCHAMPS-SUR-HUILLARD
FR-15012020-16182818;15/01/2020;51;Mme;VIGNON;LENI;12/08/1962;03.10.52.25.51;06.21.87.20.25;leni.vignon5768@wanadoo.fr;125;CHEMIN DE VILLE VIEILLE;51400;MOURMELON-LE-PETIT
FR-28112020-15822371;28/11/2020;40;M.;ADNET;MAURICE;31/07/1995;05.58.55.36.55;06.61.05.82.08;adnet.maurice2402@free.fr;142;RUE DES JONQUILLES;40090;MAZEROLLES
FR-09072011-15830890;07/09/2011;81;M.;COCHET;WOLF;12/05/2002;null;07.34.39.53.86;cochet.wolf728@orange.fr;108;RUE DE L'ARAMON;81530;GIJOUNET
FR-22112011-15250896;22/11/2011;30;Mme;MADEC;NICOLE;15/08/1963;null;06.44.64.55.83;madec.nicole@free.fr;96;PLACE DE L EGLISE;30750;DOURBIES
FR-10062019-15257449;06/10/2019;77;M.;OLIVO;LUC;06/05/1993;null;06.99.21.88.11;luc.olivo6211@free.fr;29;BOULEVARD AUGUSTE PENEAU;77480;JAULNES
FR-27032010-17537448;27/03/2010;10;Mme;DEMAREST;NORMA;28/05/1960;null;07.74.48.27.94;demarest.norma@gmail.com;150;RUE DE KERLETU;10130;COURSAN-EN-OTHE
FR-28052012-17963433;28/05/2012;26;M.;BRIGITTE;ROBERT;17/01/1959;04.87.74.92.15;06.45.33.28.28;robert.brigitte@gmail.com;55;RUE BASSE;26230;CHANTEMERLE-LÈS-GRIGNAN
FR-26112010-16431856;26/11/2010;61;Mme;GHARBI;YVONNE;28/08/1997;null;06.92.67.45.21;yvonne.gharbi@gmail.com;119;RUE DU MARAIS;61380;MOULINS-LA-MARCHE
FR-18102015-15758800;18/10/2015;66;M.;LIMARE;BRAS;13/07/1966;04.11.99.69.98;null;bras.limare@gmail.com;107;ROUTE DE VILLENEUVE;66340;VALCEBOLLÈRE
FR-04052010-16729390;05/04/2010;71;Mme;NAVET;HORTENSIA;17/04/1948;null;06.64.47.20.22;hortensia.navet2095@free.fr;60;PLACE DE L'EGLISE;71200;LE CREUSOT
FR-11112013-17502714;11/11/2013;40;Mme;BROQUET;NICOLE;30/10/1988;null;06.76.65.77.80;nicole@broquet.fr;118;IMPASSE DES VIVIERS;40190;VILLENEUVE-DE-MARSAN
FR-20032020-17622646;20/03/2020;91;M.;BOUCAUT;VINCENT;02/09/1971;null;07.87.50.18.20;vincent.boucaut7107@orange.fr;35;ROUTE DE CHEVEUGES;91190;VILLIERS-LE-BÂCLE
FR-20042022-16625187;20/04/2022;33;Mme;LERICHE;REINE;18/06/1945;null;06.77.10.96.99;reine.leriche2677@sfr.fr;134;RUE DU GAZOMETRE;33460;ARCINS
FR-14062014-15575954;14/06/2014;80;M.;RACAUD;BRAS;07/06/1971;null;06.35.02.30.54;racaud.bras7115@laposte.net;30;ROUTE DE BOUILLE MENARD;80160;BOSQUEL
FR-06012021-16963352;01/06/2021;23;Mme;THIRIOT;LIEN;08/08/1945;05.55.37.87.13;07.68.43.39.51;lien.thiriot2979@wanadoo.fr;68;ROUTE DE LA CANTRIE;23160;LA CHAPELLE-BALOUE
FR-14082011-13505671;14/08/2011;16;M.;LE;ALONSO;31/12/1979;null;06.00.50.91.64;le.alonso3226@gmail.com;114;CHEMIN DE TESTABER;16300;AMBLEVILLE
FR-28082012-12786085;28/08/2012;29;M.;LE;MARC;05/09/1967;02.21.79.84.48;07.37.58.62.12;marc.le4119@sfr.fr;7;IMPASSE DES LAVANDIERES;29950;BÉNODET
FR-16052023-18235408;16/05/2023;80;M.;BONNETON;MAHOMET;13/09/1949;03.22.27.91.71;null;mahomet.bonneton2365@orange.fr;99;IMPASSE LOUIS ANTO DE BOUGAINVILLE;80190;BILLANCOURT
FR-27092018-17901829;27/09/2018;43;M.;CLARISSE;WALTER;06/05/1992;null;06.00.80.93.17;clarisse.walter1112@laposte.net;7;RUE JACQUES BREL;43300;DESGES
FR-10112022-15753557;11/10/2022;60;M.;HOUARI;MAX;27/01/1953;null;06.12.93.88.06;max.houari5582@sfr.fr;106;CHEMIN DE LA SERRE;60420;COURCELLES-EPAYELLES
FR-11112023-16372873;11/11/2023;66;Mme;CUENOT;MARIE;27/02/1998;04.30.37.94.84;06.07.52.03.88;marie.cuenot8858@sfr.fr;142;IMPASSE CLAUDE BONNET;66560;ORTAFFA
FR-12062011-17327077;06/12/2011;55;Mme;COLLINET;RITA;18/11/2000;null;06.61.48.25.96;collinet.rita6519@laposte.net;139;CHEMIN DE MAINCY;55290;BIENCOURT-SUR-ORGE
FR-15062022-15040526;15/06/2022;68;Mme;PECH;JOHANNA;02/03/1969;null;07.09.98.25.65;johanna.pech7303@free.fr;19;RUE JEAN MOULIN;68480;WINKEL
FR-24082010-18114165;24/08/2010;69;Mme;BROUILLET;IRMA;22/06/1968;04.74.64.64.23;06.08.95.84.32;irma.brouillet1550@gmail.com;55;RUE DU MOULIN DE RUN DAVID;69430;MARCHAMPT
FR-16052021-16626497;16/05/2021;57;Mme;ARRIGHI;ROSE;19/07/1988;03.72.01.43.67;07.02.62.65.07;rose.arrighi141@free.fr;52;CHEMIN DE LA MENARDIERE;57790;LANEUVEVILLE-LÈS-LORQUIN
FR-22032022-16939760;22/03/2022;14;M.;DELCROS;ROGER;05/05/1992;null;06.80.03.71.29;roger.delcros5780@gmail.com;131;RUE DE L EPINE;14700;SAINT-PIERRE-CANIVET
FR-04072013-16131700;07/04/2013;26;M.;PASTRE;BRAS;28/08/2002;null;06.48.57.18.74;pastre.bras4804@wanadoo.fr;126;CHEMIN LOUBANE;26760;MONTÉLÉGER
FR-10092020-15506486;09/10/2020;31;Mme;MILON;ROSE;08/11/1991;05.81.38.27.34;07.97.99.20.94;rose.milon4917@gmail.com;20;RUE DES CLOS FLEURIS;31200;TOULOUSE
FR-18112010-17228119;18/11/2010;09;M.;CAYUELA;LAMBERT;04/08/1948;05.32.15.42.84;07.78.91.68.28;lambert.cayuela1045@free.fr;100;AVENUE LOUIS DIDIER;09220;SEM
FR-05122019-14705637;12/05/2019;43;M.;BUR;GEORGES;27/02/1977;null;06.74.47.45.43;georges.bur8767@free.fr;43;AVENUE BEAU SITE;43200;SAINT-MAURICE-DE-LIGNON
FR-10122020-17294965;12/10/2020;82;M.;DEBUIRE;RODRIGO;06/12/1994;null;06.19.41.99.69;debuire.rodrigo6775@gmail.com;121;PLACE DU GENERAL DE GAULLE;82190;MIRAMONT-DE-QUERCY
FR-21012018-15722099;21/01/2018;46;M.;MARIOT;IRA;30/04/1945;05.67.75.74.98;07.20.43.79.73;ira.mariot@wanadoo.fr;144;IMPASSE DU CHATEAU D EAU;46250;FRAYSSINET-LE-GÉLAT
FR-04052010-16460035;05/04/2010;01;M.;POUPON;BRAS;04/01/1951;null;07.71.00.17.42;bras.poupon3781@free.fr;68;RUE GRANDE RUE;01640;JUJURIEUX
FR-27072019-17317247;27/07/2019;21;Mme;MERESSE;LUCILE;13/12/1997;null;null;lucile.meresse@wanadoo.fr;142;QUAI DU HARLAY;21910;SAULON-LA-CHAPELLE
FR-17072021-14965814;17/07/2021;80;M.;BRAMI;BRAS;31/07/1943;null;07.43.89.99.09;bras.brami6499@gmail.com;74;CHEMIN DU PAVE;80110;MOREUIL
FR-08062012-16713005;06/08/2012;63;M.;BRUCHET;AHMED;09/06/1957;null;07.53.06.82.22;bruchet.ahmed@free.fr;123;RUE DE LA CITE RESIDENCE;63730;MIREFLEURS
FR-01112023-16549820;11/01/2023;17;Mme;CARDONA;NIEVE;21/06/1977;05.86.54.28.04;06.15.66.70.97;nieve.cardona8767@wanadoo.fr;32;IMPASSE FRICHE;17170;LA RONDE
FR-17042011-15770598;17/04/2011;51;Mme;BONO;VIOLETTE;10/10/1987;null;07.89.62.38.76;bono.violette5475@laposte.net;117;CHEMIN GABRIEL;51240;CERNON
FR-30032014-17559731;30/03/2014;40;M.;HAINAUT;QUENTIN;13/01/1976;05.54.13.84.91;06.78.96.64.23;quentin.hainaut@laposte.net;98;IMPASSE DU CHAM;40250;BERGOUEY
FR-29092012-16284399;29/09/2012;80;Mme;CHEVET;CLAUDE;06/06/1952;null;07.18.09.52.44;claude.chevet5907@live.fr;15;CHEMIN DES REVOIRES;80430;NEUVILLE-COPPEGUEULE
